Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-03-22;4,00;14,00;2,00;20,00;8,00;36,00
2020-03-29;2,00;12,00;2,00;14,00;6,00;21,00
2020-04-05;12,00;12,00;4,36;28,36;4,36;26,00
2020-04-12;7,00;24,50;2,33;24,50;0,00;24,00
2020-04-19;8,00;16,00;6,00;18,00;0,00;23,00
2020-04-26;8,00;12,00;4,00;17,00;2,00;15,00
2020-05-03;4,00;6,00;2,00;18,00;4,00;15,00
2020-05-10;6,00;14,00;4,00;16,00;2,00;15,00
2020-05-17;2,00;17,00;2,00;19,00;2,00;13,00
2020-05-24;11,00;13,20;4,40;31,90;2,20;17,00
2020-05-31;13,00;10,83;4,33;34,67;2,17;25,00
2020-06-07;6,00;8,00;2,00;18,00;2,00;15,00
2020-06-14;6,00;18,00;8,00;28,00;4,00;28,00
2020-06-21;4,00;13,00;2,00;6,00;2,00;18,00
2020-06-28;4,00;12,00;2,00;29,00;0,00;22,00
2020-07-05;9,00;6,00;2,00;19,00;4,00;41,00
2020-07-12;5,00;11,25;8,75;27,50;2,50;36,00
2020-07-19;2,00;16,00;2,00;18,00;2,00;22,00
2020-07-26;10,00;4,44;0,00;30,00;2,22;19,00
2020-08-02;17,00;4,25;0,00;17,00;2,13;17,00
2020-08-09;5,00;18,75;5,00;18,75;5,00;12,00
2020-08-16;2,00;20,00;2,00;20,00;0,00;10,00
2020-08-23;7,00;29,00;7,00;13,00;2,00;19,00
2020-08-30;5,00;27,50;0,00;18,75;0,00;9,00
2020-09-06;9,00;11,00;0,00;7,00;2,00;24,00
2020-09-13;9,00;11,00;4,00;13,00;0,00;43,00
2020-09-20;5,00;16,25;0,00;23,75;7,50;21,00
2020-09-27;12,00;16,36;0,00;21,82;0,00;26,00
2020-10-04;2,00;13,00;0,00;13,00;0,00;21,00
2020-10-11;5,00;9,00;0,00;14,00;0,00;29,00
2020-10-18;0,00;5,00;5,00;18,00;0,00;19,00
2020-10-25;12,00;16,36;4,36;9,82;2,18;28,00
2020-11-01;4,00;8,00;0,00;12,00;2,00;32,00
2020-11-08;12,00;7,64;0,00;19,64;0,00;31,00
2020-11-15;0,00;17,00;0,00;17,00;4,00;16,00
2020-11-22;9,00;6,00;0,00;17,00;4,00;16,00
2020-11-29;2,00;9,00;9,00;11,00;4,00;26,00
2020-12-06;9,00;11,00;4,00;2,00;6,00;39,00
2020-12-13;9,00;22,00;11,00;24,00;6,00;14,00
2020-12-20;11,00;16,50;0,00;33,00;5,50;29,00
2020-12-27;10,00;26,67;2,22;26,67;7,78;40,00
2021-01-03;21,00;21,00;9,95;43,11;4,42;34,00
2021-01-10;13,00;13,00;2,17;35,75;6,50;33,00
2021-01-17;6,00;20,00;4,00;26,00;4,00;37,00
2021-01-24;11,00;15,40;2,20;29,70;6,60;77,00
2021-01-31;18,00;12,71;0,00;39,18;0,00;33,00
2021-02-07;7,00;17,50;7,00;22,17;0,00;32,00
2021-02-14;9,00;14,63;0,00;23,63;2,25;18,00
2021-02-21;11,00;15,00;6,00;21,00;2,00;20,00
2021-02-28;7,00;11,67;4,67;36,17;0,00;7,00
2021-03-07;7,00;16,33;2,33;38,50;0,00;13,00
2021-03-14;4,00;6,00;0,00;34,00;0,00;15,00
2021-03-21;7,00;9,33;2,33;17,50;7,00;18,00
2021-03-28;5,00;5,00;5,00;23,00;2,00;15,00
2021-04-04;0,00;9,00;0,00;26,00;7,00;35,00
2021-04-11;11,00;31,90;0,00;20,90;2,20;49,00
2021-04-18;7,00;15,17;2,33;24,50;4,67;9,00
2021-04-25;9,00;16,88;2,25;49,50;0,00;14,00
2021-05-02;2,00;6,00;2,00;40,00;4,00;19,00
2021-05-09;5,00;11,25;5,00;80,00;0,00;14,00
2021-05-16;4,00;16,00;2,00;35,00;8,00;11,00
2021-05-23;9,00;11,00;0,00;69,00;2,00;46,00
2021-05-30;12,00;9,00;2,00;67,00;5,00;25,00
2021-06-06;9,00;22,00;0,00;50,00;2,00;14,00
2021-06-13;7,00;13,00;0,00;40,00;2,00;29,00
2021-06-20;12,00;7,64;4,36;63,27;0,00;33,00
2021-06-27;9,00;18,00;4,00;51,00;7,00;19,00
2021-07-04;12,00;2,18;2,18;54,55;5,45;27,00
2021-07-11;12,00;15,27;0,00;42,55;2,18;20,00
2021-07-18;8,00;13,71;0,00;52,57;5,71;18,00
2021-07-25;10,00;7,00;5,00;50,00;2,00;26,00
2021-08-01;8,00;21,71;0,00;68,57;5,71;31,00
2021-08-08;11,00;22,00;7,70;57,20;5,50;29,00
2021-08-15;5,00;14,00;2,00;65,00;0,00;23,00
2021-08-22;8,00;8,00;5,00;61,00;3,00;27,00
2021-08-29;8,00;18,00;2,00;65,00;10,00;51,00
2021-09-05;11,00;14,30;0,00;47,30;3,30;38,00
2021-09-12;3,00;6,00;0,00;82,00;8,00;39,00
