Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-02-02;49,00;79,63;3,06;6,13;3,06;1,00
2020-02-09;50,00;95,31;4,69;6,25;1,56;3,00
2020-02-16;49,00;81,16;4,59;10,72;4,59;4,00
2020-02-23;47,00;74,29;4,55;10,61;3,03;2,00
2020-03-01;55,00;71,81;6,11;9,17;4,58;3,00
2020-03-08;47,00;68,93;4,70;6,27;1,57;3,00
2020-03-15;35,00;53,26;3,04;4,57;1,52;3,00
2020-03-22;28,00;46,67;3,11;3,11;3,11;2,00
2020-03-29;21,00;31,50;3,00;3,00;1,50;1,00
2020-04-05;20,00;32,31;1,54;1,54;4,62;2,00
2020-04-12;19,00;31,67;1,58;1,58;1,58;2,00
2020-04-19;26,00;35,18;1,53;3,06;3,06;2,00
2020-04-26;17,00;34,00;3,09;1,55;1,55;2,00
2020-05-03;23,00;32,20;3,07;1,53;1,53;2,00
2020-05-10;21,00;37,15;3,23;1,62;1,62;1,00
2020-05-17;28,00;46,67;3,11;0,78;1,56;2,00
2020-05-24;25,00;46,88;1,56;1,56;0,78;2,00
2020-05-31;25,00;39,06;3,13;4,69;1,56;4,00
2020-06-07;24,00;48,00;1,50;3,00;1,50;2,00
2020-06-14;28,00;46,67;3,11;4,67;1,56;3,00
2020-06-21;29,00;50,37;4,58;3,05;1,53;2,00
2020-06-28;33,00;50,29;4,71;4,71;11,00;1,00
2020-07-05;28,00;46,67;3,11;4,67;4,67;1,00
2020-07-12;24,00;48,00;4,50;3,00;1,50;7,00
2020-07-19;32,00;48,00;6,40;1,60;1,60;3,00
2020-07-26;33,00;44,00;4,71;1,57;1,57;3,00
2020-08-02;29,00;44,26;4,58;4,58;6,11;3,00
2020-08-09;37,00;44,71;4,63;3,08;1,54;1,00
2020-08-16;41,00;57,70;4,56;4,56;3,04;2,00
2020-08-23;26,00;50,47;1,53;1,53;1,53;1,00
2020-08-30;34,00;38,64;4,64;3,09;3,09;2,00
2020-09-06;35,00;54,78;4,57;3,04;1,52;2,00
2020-09-13;26,00;47,41;4,59;3,06;1,53;5,00
2020-09-20;30,00;52,11;4,74;4,74;0,79;3,00
2020-09-27;34,00;44,82;3,09;4,64;0,00;2,00
2020-10-04;24,00;46,40;1,60;4,80;0,00;1,00
2020-10-11;38,00;48,64;4,56;4,56;3,04;4,00
2020-10-18;40,00;44,62;3,08;6,15;1,54;2,00
2020-10-25;30,00;45,00;3,00;3,00;0,75;3,00
2020-11-01;21,00;31,50;4,50;3,00;1,50;1,00
2020-11-08;20,00;41,54;3,08;9,23;1,54;1,00
2020-11-15;28,00;43,56;4,67;4,67;1,56;3,00
2020-11-22;38,00;62,32;3,04;4,56;3,04;6,00
2020-11-29;38,00;53,83;4,75;3,17;4,75;1,00
2020-12-06;64,00;82,73;10,93;3,12;6,24;2,00
2020-12-13;73,00;93,19;7,77;7,77;9,32;3,00
2020-12-20;56,00;74,67;9,33;6,22;1,56;3,00
2020-12-27;83,00;113,74;7,69;10,76;1,54;1,00
2021-01-03;100,00;153,85;6,15;9,23;1,54;4,00
2021-01-10;97,00;150,89;7,70;9,24;3,08;2,00
2021-01-17;87,00;140,42;4,58;7,63;1,53;3,00
2021-01-24;51,00;88,09;6,18;4,64;1,55;3,00
2021-01-31;47,00;103,40;4,70;3,13;1,57;3,00
2021-02-07;40,00;61,54;3,08;4,62;1,54;2,00
2021-02-14;37,00;55,50;1,54;4,63;1,54;0,50
2021-02-21;33,00;56,57;1,57;3,14;1,57;3,00
2021-02-28;26,00;44,35;3,06;1,53;3,06;0,50
2021-03-07;32,00;48,76;1,52;6,10;1,52;3,00
2021-03-14;33,00;55,00;4,71;3,14;1,57;1,00
2021-03-21;30,00;43,50;4,50;3,00;1,50;4,00
2021-03-28;24,00;41,60;1,60;1,60;1,60;2,00
2021-04-04;24,00;37,50;3,00;6,00;1,50;3,00
2021-04-11;26,00;42,82;4,59;4,59;3,06;4,00
2021-04-18;32,00;48,76;3,05;3,05;1,52;2,00
2021-04-25;26,00;50,47;4,59;4,59;1,53;3,00
2021-05-02;39,00;48,36;6,24;4,68;1,56;2,00
2021-05-09;38,00;39,52;4,56;3,04;3,04;2,00
2021-05-16;40,00;52,31;3,08;6,15;1,54;3,00
2021-05-23;39,00;56,16;4,68;4,68;1,56;1,00
2021-05-30;43,00;55,29;4,61;4,61;1,54;3,00
2021-06-06;37,00;50,88;7,71;4,63;3,08;1,00
2021-06-13;38,00;60,80;9,12;4,56;0,76;3,00
2021-06-20;41,00;54,67;4,56;9,11;1,52;2,00
2021-06-27;44,00;65,24;4,55;3,03;3,03;2,00
2021-07-04;46,00;63,45;1,59;4,76;3,17;1,00
2021-07-11;53,00;70,15;4,68;4,68;1,56;2,00
2021-07-18;47,00;72,07;4,70;6,27;4,70;3,00
2021-07-25;61,00;96,97;3,13;4,69;3,13;1,00
2021-08-01;42,00;104,22;7,78;6,22;1,56;3,00
2021-08-08;52,00;97,70;4,73;6,30;1,58;3,00
2021-08-15;37,00;61,67;6,17;6,17;3,08;3,00
2021-08-22;27,00;58,50;6,00;4,50;1,50;18,00
2021-08-29;32,00;39,62;3,05;6,10;1,52;3,00
2021-09-05;31,00;44,95;3,10;10,85;4,65;3,00
2021-09-12;27,00;49,50;4,50;9,00;3,00;1,00
