Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-03-22;3,00;4,00;0,00;16,00;11,00;102,00
2020-03-29;2,00;6,00;2,00;21,00;8,00;64,00
2020-04-05;1,00;6,00;3,00;23,00;20,00;34,00
2020-04-12;2,00;6,00;3,00;20,00;12,00;60,00
2020-04-19;3,00;8,00;3,00;22,00;19,00;90,00
2020-04-26;1,00;8,00;3,00;29,00;12,00;24,00
2020-05-03;3,00;8,00;2,00;20,00;15,00;33,00
2020-05-10;2,00;4,00;8,00;27,00;10,00;52,00
2020-05-17;3,00;6,00;4,00;33,00;9,00;90,00
2020-05-24;5,00;6,00;2,00;36,00;17,00;70,00
2020-05-31;3,00;9,00;3,00;34,00;12,00;84,00
2020-06-07;3,00;7,00;3,00;27,00;10,00;42,00
2020-06-14;3,00;7,00;2,00;26,00;15,00;45,00
2020-06-21;3,00;8,00;2,00;34,00;12,00;57,00
2020-06-28;5,00;4,00;3,00;26,00;19,00;90,00
2020-07-05;5,00;3,00;2,00;24,00;12,00;130,00
2020-07-12;2,00;6,00;2,00;21,00;11,00;84,00
2020-07-19;5,00;4,00;3,00;47,00;20,00;95,00
2020-07-26;6,00;8,00;2,00;24,00;11,00;150,00
2020-08-02;5,00;12,00;5,00;36,00;17,00;100,00
2020-08-09;14,00;12,00;5,00;40,00;16,00;98,00
2020-08-16;2,00;12,00;3,00;28,00;14,00;80,00
2020-08-23;3,00;6,00;1,00;34,00;19,00;69,00
2020-08-30;3,00;5,00;4,00;15,00;16,00;63,00
2020-09-06;0,00;9,00;2,00;21,00;16,00;18,00
2020-09-13;6,00;21,00;3,00;20,00;21,00;174,00
2020-09-20;4,00;7,00;2,00;18,00;28,00;80,00
2020-09-27;4,00;9,00;1,00;24,00;21,00;88,00
2020-10-04;1,00;8,00;4,00;26,00;14,00;36,00
2020-10-11;2,00;0,00;6,00;17,00;22,00;80,00
2020-10-18;5,00;4,00;2,00;28,00;31,00;115,00
2020-10-25;2,00;3,00;3,00;21,00;29,00;80,00
2020-11-01;5,00;4,00;3,00;16,00;20,00;60,00
2020-11-08;4,00;1,00;3,00;23,00;21,00;80,00
2020-11-15;9,00;2,00;5,00;25,00;18,00;81,00
2020-11-22;1,00;7,00;1,00;35,00;28,00;52,00
2020-11-29;4,00;12,00;2,00;28,00;23,00;128,00
2020-12-06;1,00;7,00;2,00;24,00;26,00;42,00
2020-12-13;5,00;3,00;0,00;21,00;22,00;135,00
2020-12-20;2,00;10,00;3,00;25,00;41,00;104,00
2020-12-27;3,00;9,00;5,00;33,00;36,00;78,00
2021-01-03;2,00;21,00;4,00;29,00;24,00;112,00
2021-01-10;5,00;15,00;3,00;20,00;20,00;130,00
2021-01-17;6,00;16,00;2,00;27,00;12,00;138,00
2021-01-24;2,00;15,00;3,00;26,00;11,00;84,00
2021-01-31;2,00;29,00;1,00;23,00;22,00;400,00
2021-02-07;5,00;16,00;1,00;22,00;32,00;100,00
2021-02-14;1,00;10,00;3,00;23,00;27,00;46,00
2021-02-21;2,00;5,00;1,00;35,00;13,00;80,00
2021-02-28;2,00;6,00;6,00;18,00;12,00;72,00
2021-03-07;4,00;5,00;1,00;24,00;20,00;68,00
2021-03-14;3,00;10,00;1,00;26,00;14,00;51,00
2021-03-21;7,00;7,00;2,00;22,00;9,00;98,00
2021-03-28;2,00;2,00;5,00;22,00;15,00;56,00
2021-04-04;5,00;3,00;0,00;30,00;10,00;115,00
2021-04-11;1,00;5,00;4,00;17,00;17,00;34,00
2021-04-18;2,00;6,00;1,00;25,00;13,00;60,00
2021-04-25;4,00;4,00;0,00;21,00;20,00;68,00
2021-05-02;1,00;4,00;3,00;20,00;19,00;38,00
2021-05-09;4,00;3,00;4,00;27,00;18,00;60,00
2021-05-16;5,00;4,00;1,00;32,00;18,00;65,00
2021-05-23;1,00;0,00;1,00;24,00;13,00;30,00
2021-05-30;4,00;6,00;0,00;21,00;19,00;72,00
2021-06-06;1,00;5,00;1,00;19,00;21,00;24,00
2021-06-13;2,00;3,00;3,00;19,00;14,00;52,00
2021-06-20;0,00;7,00;1,00;33,00;17,00;32,00
2021-06-27;2,00;2,00;4,00;23,00;9,00;112,00
2021-07-04;2,00;4,00;2,00;27,00;16,00;100,00
2021-07-11;1,00;9,00;3,00;31,00;16,00;50,00
2021-07-18;4,00;9,00;3,00;30,00;17,00;120,00
2021-07-25;5,00;7,00;0,00;32,00;31,00;145,00
2021-08-01;5,00;8,00;2,00;35,00;34,00;195,00
2021-08-08;2,00;2,00;2,00;38,00;31,00;144,00
2021-08-15;3,00;6,00;0,00;25,00;44,00;108,00
2021-08-22;2,00;8,00;2,00;22,00;41,00;144,00
2021-08-29;3,00;1,00;1,00;29,00;18,00;102,00
2021-09-05;6,00;5,00;2,00;40,00;23,00;204,00
2021-09-12;0,00;1,00;1,00;29,00;17,00;32,00
